positive_word
기증자
사다
돕다
배부르다
맡다
타다
오랜만
다니다
사귀다
결혼하다
상품
승
매일
꾸준히
많이
선물하다
만날
동생
화목하다
어리다
첫
생활하다
운동
마시다
지원금
잡다
흘리다
받다
감사하다
주변
안심
한시름
삶
아침
몸
지원하다
화해
만기
돈
바라보다
준비하다
축하하다
연인
계획
무사히
잘
회복되다
고맙다
들어주다
친구
든든하다
생각
짝사랑하다
승진
배달
행복하다
믿다
양보하다
듣다
대기업
넥타이
맛있다
해보다
다행
바뀌다
좋다
고마움
풀리다
제주도
우연히
보다
퇴원하다
외식하다
옮기다
돌아오다
나다
깨끗하다
괜찮다
나타나다
싸다
젊다
자다
연락
일등
기념하다
자상
여름
수용하다
만점
행운
무난하다
가다
화해하다
휴가
강의
생기다
마음
주말
가져다주다
너무나
기쁘다
떡
맞다
선물
운영하다
멋지다
대하다
행복
달
살다
보너스
이야기하다
찾아오다
자랑스럽다
넘다
보살피다
지지
놀이동산
고백하다
넉넉하다
신나다
별문제
재미있다
올라서다
신뢰하다
시작하다
구하다
만나다
드디어
느긋하다
상쾌하다
뿌듯하다
효과
편하다
통하다
여행
새로
건강하다
만들다
믿기다
출산
생일
주다
나누다
성공적
마치다
쉬다
많다
끝내다
운
적금
밤하늘
만족스럽다
찾다
다행히
