negative_word
우울하다
조르다
부담스럽다
파기하다
잃어버리다
헤어지다
불편하다
고장
취하다
집착하다
이등
탈락
고생하다
뒤
단순
고비
따돌리다
그렇게
괴롭히다
놀림거리
장난
외상
겁
심지어
감추다
고혈압
미안
서럽다
안달하다
망설이다
따라가다
심근경색
안타깝다
미워하다
밉다
배설물
실망
무안하다
불합격
고치다
못하다
옛날
화나다
골다
후회
바쁘다
황당하다
심란하다
답답하다
나가다
마시다
은퇴
늦다
잡다
사과하다
따돌림
조심하다
못나다
처리하다
뻐근하다
끔찍하다
과제
취업
전세금
욕
서운하다
대우
잔고
상처
하지만
훨씬
고참
집
아깝다
비용
누렇다
때리다
장거리
비참하다
그저
해진
당하
학비
실패하다
기다리다
구역질
전학
숨기다
피하다
넘어지다
치료비
보험
악의
퍼지다
좀
숙제
사고
왜
세상에
대출
병원
우울
검사
끼다
시선
과연
큰일
관절염
컨닝
새로이
환자
안되다
몰래
찍다
무너지다
평소
불리다
부탁하다
못
그런데
피곤하다
낙방하다
짝사랑하다
갱년기
열등감
노년
고지혈증
막막하다
삐다
끝나다
찌다
혼나다
충격적
암
배신
하루하루
출퇴근하다
집값
핑계
귀찮다
뺏다
동떨어지다
빼다
술
그런
암담하다
면역력
걱정되다
창피하다
오랫동안
중요
병
화
거짓말
형편
당혹스럽다
오답
절교하다
원망스럽다
여전히
치유
병원비
잘리다
괴롭다
괴로워하다
눈물
코로나
갈등
시력
새하얗다
패거리
뭐야
저지르다
솔직히
발병하다
약간
까지다
놀랍다
방관
성가시다
인스턴트
피우다
쇼크
참다
가정사
자르다
의심하다
지르다
폭력
힘들다
증상
갑작스럽다
신고하다
무슨
이런
과음
제출일
채점
연락
싫다
당하다
없이
지출되다
슬프다
피곤
의문
신고
지치다
폭풍우
아프다
진단
이기다
꾸짖다
이미
곤두서다
빠르다
소외되다
조금
쇼윈도
환멸감
지체되다
돌다
마르다
비웃다
외톨이
없다
바보
수술
이혼하다
뱃살
과제하다
난감하다
갑자기
교통사고
혼란스럽다
긴장
약통
잃다
폭행
맞다
훔치다
붙다
싸우다
피해자
허무하다
생계
당분간
죄책감
작다
위암
상상도
도망치다
대하다
불투명하다
충격
괴물
환멸
간암
후회하다
실망감
이상
챙기다
퇴임
담배
끊다
마비
도대체
임신하다
소변
사라지다
쳐주다
부족
예민
비우다
고민
억울하다
만성
조심스럽다
못살다
베끼다
실망하다
위기
탈락하다
급전
눈치
퇴사
되레
구박하다
치매
고생
불입하다
금전
틀어박히다
한심하다
회의적
무단
잦다
빠지다
터지다
자궁내막
다투다
큰소리
잡히다
물질적
견디다
파상풍
멀다
신세
그만두다
나쁘다
그르다
시험
혐오스럽다
악화되다
가난하다
망하다
스트레스
저러다
학력
입원
잘못
회식
끝없다
해고
실수
심하다
떨어지다
모르다
포기하다
이혼
잔소리하다
만만
질환
멈추다
못생기다
늙다
검진
놓다
죽이다
이상하다
장례식
인내
야하다
떼우다
걱정
사기
겹겹이
후회되다
자주
거절
간
의처증
바람
일진
미루다
낳다
불만스럽다
퇴직
어이없다
이것저것
어린애
질투
당황스럽다
현금
지출
출산휴가
시댁
옆집
감정
세대
뻔뻔하다
충전
비하다
바치다
트집
집안일
잔소리
일하다
한숨
벌어다
요실금
담보
어렵다
차다
꼭
초조하다
빨리
육아
치과
비꼬다
취소되다
줄다
하얘지다
서먹하다
무섭다
곤란하다
음주
좀처럼
불법적
부족하다
채점하다
디스크
손가락질하다
어떡하다
그만하다
은퇴하다
출산
도박
문제
마비되다
오류
소용
심기
아이고
사직
입원하다
비다
인하다
노후
돌변하다
실망스럽다
배신감
흉
신경
비윤리적
맘대로
속상하다
적막하다
기말고사
위로하다
회비
짜증
질병
급하다
가해자
접다
오해하다
왠지
미안하다
놀라다
불안하다
무겁다
부끄럽다
실감
병문안
혼자
받아들이다
뜨다
두렵다
짜증나다
안달
한도
저렇다
깜빡깜빡하다
죽다
걸리다
허전하다
부쩍
연봉
급격히
날리다
때가다
건강검진
고민거리
반대하다
손해
노엽다
두절되다
폐
착잡하다
돌려주다
변기통
험담
시어머니
극구
미리미리
외롭다
일해
가끔
며느리
혼쭐
살지다
들키다
쓰러지다
물리치료
구직
미움
싫어하다
쓸쓸하다
약
아무
가시
