단어
학업
신경
쓰다
화
더
적극적
살아가다
후회
고치다
어렵다
자궁내막
증
걸리다
슬프다
집안
사정
원하다
대학
포기
상처
서울
이사
후부
트다
허전
우울
폐
옆
자꾸
담배
피우다
병원비
불합격
열심히
실전
제대로
과제
약속
도착
당황
뼈
리
느끼다
자꾸
지치다
놀다
점심
그
얼굴
누렇다
뜨다
취직
스트레스
지내보다
쉽다
도박
날리다
또
도박
배신
산책
나가다
잠시
한눈
팔다
보이다
초조
맨날
인스턴트
이러다
더
악화
사돈댁
죽다
장례식
놓다
빨리
초조
싫어하다
점점
그
따르다
미워하다
잘못
미움
부탁
모습
비참
답답
심근경색
쓰러지다
충격
며느리
동네
바퀴
돌다
무릎
이후
예전
대학교
입학
미리미리
취업
해
그리하다
졸업
후회
부인
자꾸
빌리다
늦다
돌리다
화
아
화나다
차
젊은
세대
동향
못
따라가다
점점
환멸
느끼다
의사
의료
사고
잦다
의사
그
사실
화
꿈
학교
자꾸
희망
적다
짜증
그르다
모든
포기
삶이
아깝다
느끼다
앞두다
사회
일찍
그렇다
정기
발령
그런데
떨어지다
발령
출퇴근
겨울
입
옷
여름옷
겹겹이
입다
속상하다
학교
폭력
당하
신고
후회
갑자기
핸드폰
번호
바꾸다
용돈
눈치
상처
빨리
죽다
맨날
싫다
연봉
동결
동기
더
더
예쁘다
질투
은행
추천
조심
암
죽다
남
슬프다
바람
피우다
너무너무
속상하다
온
인턴
열다
정도
집값
오르다
오르다
부끄럽다
등산
동호회
디스크
걸리다
등산
비꼬다
들려다
싫다
견디다
쇼윈도
비치다
얼굴
놀라다
축
늘어지다
뱃살
놀라다
이리저리
놀랍다
하루
일하다
동료
실망감
감추다
취업
속상하다
친하다
질투
이혼
이러다
구박
선생
학교
왜
계속
그렇다
정리
해고
명단
들어가다
청춘
바치다
자꾸
거짓말
앞서다
안타깝다
도대체
왜
저러다
임원진
현재
실무진
파악
못
작년
죽다
실감
슬프다
넘어서다
밥벌이
부끄럽다
용돈
요구
한심
대상
혐오
뱃살
부쩍
찌다
스트레스
뱃살
큰일
취업
실패
관계
어렵다
헤어지다
학업
지속
대학원
진학
꿈꾸다
하지만
학비
마련
꿈
접다
말다
가장
아끼다
직원
학년
관계
서먹
외롭다
상사
트집
잡히다
혼쭐
웬만
엮이다
입사
월
지나다
친하다
꽃순이
꽃순이
죽이다
젓갈
담그다
그렇게
착하다
보이다
괴물
인지도
반찬
챙기다
끔찍
잠시
자취방
신세
나가다
코
골다
사업
담보
계약서
쓰다
사기
당하
비우다
큰일
처음
안다
화
계속
떼다
쓰다
그동안
대인
관계
맺다
살아오다
사업
망하다
유학
못
가게
피해자
가해자
이기다
회의적
학교
일진
애가
패거리
요구
무섭다
창피
곧
초조
가게
여동생
싫다
자연
치유
들어가다
답답
상태
꿈
에베레스트산
등반
못
슬프다
간암
중요
보고서
제출일
까지다
어떡하다
당황
다투다
상태
어떻다
묻다
조심
더
홀가분
마누라
진단
위암
저축
큰일
지난주
학교
딸아이
학력
초조
집안
선천적
질병
물론
죽다
발병
경우
출산휴가
중인
제대로
처리
경우
약속
집안
반대
장난
진심
받아들이다
애인
서운
스트레스
언니
일자리
전화
모으다
일하다
부서
손해
괴로워하다
도와주다
상황
제대로
짜증
누나
삐다
잘하다
신경
쓰다
쓸쓸
험담
소문
퍼지다
싫어하다
애가
그런
짓다
답
맞추다
끼다
외롭다
속상하다
짜증
가정사
사실
배신감
차
왠지
바꾸다
바꾸다
피곤
신경
곤두서다
뭐야
괴롭다
갑자기
소변
급하다
공중화
기다리다
애가
취업
질문
질문
면접관
환멸감
느끼다
왜
못
괴롭히다
안달
스트레스
헤어지다
왜
위해주
사랑하다
이르다
왜
가입
당하
여유
하루하루
바쁘다
살지다
왜
괴롭히다
스트레스
취업
상사
날다
일부
괴롭히다
생신
차리다
맘대로
맨날
이러다
저렇다
라
가해자
합심
전학
갱년기
증상
우울
자꾸
귀찮다
또
거짓말
취직
알아보다
아
파다
알
귀농
실습
재료
야하다
부족
미루다
휴대폰
허무
느끼다
노트
숙제
자꾸
훔치다
베끼다
애가
화
키우다
아무
소용
화
사위
그
빼다
가족사진
찍다
무겁다
갖다
이해
휴일
당구장
노엽다
여기다
목적
이해
머리
원하다
직업
반대하다
실망
비다
혼주
의자
애인
당혹
사회
일찍
그렇다
꿈
그리다
입사
여가
줄다
되레
외롭다
마치
기계
여기다
허무
슬프다
왜
괴롭히다
오히려
병
그렇다
여기저기
고장
병
매번
소외
일자리
센터
고혈압
일자리
외롭다
나가다
나쁘다
중요
어머니
못
학교
폭력
괴롭다
자꾸
미안
당황
음주
운전
뻔뻔
태도
취하다
가해자
화
심지어
화나다
늙다
살아가다
사업
죽다
뉴스
충격적
기사
안타깝다
똑똑
형
필요
어이없다
치매
걸리다
그렇게
집착하다
그렇다
짜증나다
이상
웃음
슬프다
이런
이제껏
열심히
비하다
모이다
상사
눈치
충격적
정말로
자신
한심
왜
키워
여유
즐기다
통장
잔고
도대체
열심히
월급
늙다
입사
이것저것
내야
서류
짜증나다
피곤
학교
학급
화
사십
대인
암
충격
학업
비용
만만
알아보다
또
떨어지다
합격
화
거짓말
새
옷
입다
망설이다
혼란
공동
계좌
사용
지출
갑자기
태도
돌변
취업
중인
잘하다
미래
불투명
학생
왜
더
슬프다
후회
쇼크
갑작스럽다
그런데
병문안
선인장
물다
가시
박히다
파상풍
성가시다
골목
어린애
담배
피우다
나가다
세상
무너지다
떨어지다
괴롭히다
익숙
슬프다
건강검진
정밀
검사
필요
병
오빠
화
참다
한도
실수
화
때리다
속상하다
무섭다
애
요새
왜
이리
초조
그렇다
깜빡깜빡
기회
뺏다
수익
고객
불법적
비윤리적
경영
상황
혼란
뒷말
곧
먼저
기일
우울
예정일
일주일
지나다
아기
무슨
초조
황당
따돌리다
노년
담배
끊다
더
나쁘다
배신
스트레스
피곤
생계
곤란
육아
비용
도움
요청
갑자기
집주인
전세금
올리다
그렇다
다리
호감
데이트
신청
거절
취업
중인
우울
그동안
못
챙기다
병
걸리다
말다
내가다
과연
의문
오히려
꾸짖다
실망
컨닝
선생
날다
의심
폭행
사실
숨기다
친목
모임
무슨
맞장구
쳐주다
외롭다
급전
필요
팔다
아파트
어느새
시세
두
배
아이고
학교
확신
심사
낙방
두절
관계
두텁다
스트레스
과음
한심
시집
따돌리다
세상에
기본
끈기
인내
부족
서럽다
부자
밖
싫다
질투
그
학교
애
괴롭히다
따돌리다
후회
밑
직원
제대로
자꾸
가지다
쇼핑
옷
입다
지체
짜증
최근
갈등
병원비
날리다
머리
하얘지다
솔직히
그
더
가지다
서로
여성
커피숍
앉다
강남
아파트
이미
늦다
어쩌다
웃다
슬프다
동료
회식
큰소리
당황
부끄럽다
올해
건강검진
계속
통화
예약
못
곤란
친하다
동떨어지다
조금
일해
허리
뻐근
이튿날
일찍
일어나다
예전
명절
어른
묻다
고향
가
싫다
퇴직
새롭다
도무지
막막
중년
신입
들어오다
중년
신입
약간
조심
여러
개
관절염
적용
속상하다
무슨
짜증
불만
떨어지다
자신
실망
요새
계속
취직
실패
당황
가슴
아주
괴롭다
지난번
기말고사
더
떨어지다
고립
합격
문자
시스템
오류
잘못
합격
문자
당황
실패
얼굴
못
학교
쪽지
채점
오답
인
정답
채점
어떡하다
매번
왜
질투
못살다
열등감
느끼다
현재
치과
한곳
임
플란트
또
한곳
떼우다
어쩌다
가만히
헤어지다
차이
자꾸
조르다
취직
이상
예전
이런
상황
사소
당황
로또
번호
발표
아깝다
손해
서로
화
가게
차리다
한숨
휴일
도대체
도와주다
무슨
철로
충전
직무
훨씬
해내다
모습
예전
예전
술
속상하다
죽다
코로나
터지다
병
예민
해진
시력
얻다
삶이
다르다
하지만
여전히
즐겁다
조만간
무슨
합숙
판이
짜증나다
계속
괴롭히다
애가
밉다
그
애
가방
끈
자르다
도망치다
기업
코로나
기업
공채
취소
당황
선생
폭력
저지르다
장난
동기
과제
이름
빼다
괴롭히다
애
화
치과
치료비
시어머니
암
걸리다
요실금
기저귀
차고
싫어하다
암
걸리다
죽다
지출
빼다
노인회
들어오다
영감
노인회
회비
아난
어이없다
얼굴
마비
손주
무섭다
떨어지다
질문
가치관
묻다
질문
대답
건강검진
면역력
떨어지다
데리다
강아지
배설물
곳곳
화
가해자
잘못
매번
사과
스트레스
젊은
열등감
느끼다
가게
일하다
회식
이차
빼다
가
살지다
마르다
검사
코로나
몇
못
집안
마비
상태
실수
꽤
상태
두렵다
세뱃돈
쥐다
부끄럽다
질병
못
따돌리다
발표
비웃다
놀림거리
대화
점점
줄어들다
귀찮다
느끼다
탈락
틀어박히다
답답
챙기다
피곤
학교
경찰
신고
신고
들키다
보이다
정년
퇴임
이후
살아가다
도와주다
애
또
떨어지다
결혼식
싫다
사내
연애
눈치
보이다
사기
잃어버리다
어떡하다
상상도
실내화
변기통
담그다
당황
욕
빼다
보이다
암담
수업
핸드폰
한심
안정
개인
사업
퇴사
당혹
화
서울
대학
몇
슬프다
정년
남지
먹고살다
막막
그
애
이등
무단
횡단
물리치료
멈추다
고지혈증
군대
고생
고참
한의원
보약
짓다
술
술자리
못
가게
시세
알아보다
부동산
구매
후회
애
병원비
피하다
슬프다
눈치
보이다
상황
도움
충격적
초조
따르다
선배
떠나다
선배
떠나다
슬프다
돌아가다
자꾸
생각나다
옆
침대
환자
사실
가지다
흉
집안일
시댁
아기
낳다
바라다
상처
연애
두렵다
혼란
이유
해고
당하
매우
슬프다
이런
상황
상처
취업
스터디
팀
성가시다
애가
명
이상
물질적
풍요
로
적막
가난
느끼다
동호회
속상하다
본부장
스트레스
단순
끝없다
반복
이러다
바보
가난
극구
반대하다
스트레스
계속
머리
상황
매우
난감
다녀오다
약속
늦다
명
날다
싫어하다
싫다
겁
여생
자신
열심히
취업
왜
계속
탈락
아까
어머니
욕
환멸
해내다
약통
분리
혼란
이러다
못
스트레스
의사
디스크
가진
능력
기여
도
대우
매우
화
열등감
자꾸
못나다
서다
남
시선
스트레스
여행가
싫다
동창
자꾸
건강검진
친하다
할매
자꾸
남다
병
자꾸
소리
지르다
곧
대학
실기
날인
컨디션
대학
졸업
켜다
취업
못
계속
흐르다
답답
그렇다
따라서
말다
현금
모으다
답답
죽다
도대체
방법
코로나
나가다
못
계속
찌다
혼란
계속
방관
괴롭히다
동참
당혹
절약
저축
자꾸
가지다
쓰다
화
의지
자신
한심
허리
용돈
와이프
낳다
죽다
사고
잃다
목적
사라지다
오랫동안
빌리다
무섭다
부쩍
위기
고비
넘기다
병
것다
이혼
요구
심기
보이다
조심
동료
프린트
용지
자꾸
가지다
가
동료
실망
자꾸
이러다
이혼
슬프다
현재
이용
정하다
넘어지다
부끄럽다
가게
외상
계속
결제
미루다
스트레스
움직이다
싫다
이것저것
심부름
휴대전화
고장
주고받다
어떡하다
옛날
멀다
와이프
잘리다
구직
활동
놀다
애
각자
활기
차다
합병
처리
어찌
마비
이직
이런
장거리
연애
지치다
그만
밤
잠
새벽
잠
깨우다
귀찮다
행동
절교
직원
바람
피우다
사회
급격히
변화
정년
다가오다
더
지출
심란
술
기억
기억
이런
아주
당황
권고
사직
제일
먼저
슬프다
지속적
그저
그
애
즐거움
상처
오전
임신
상황
조금
혼란
새롭다
불입
저축
연금
나중
도움
혼란
학교
안되다
나가다
못나다
자꾸
외톨이
중학교
따돌리다
인기
친하다
예전
즐겁다
동료
릴
우울
키
작다
이유
성격
새롭다
수주
배치
새로이
협조
당연히
날다
애
손가락질
스트레스
더
제대로
청혼
기다리다
악의
불리다
의처증
무섭다
죽다
더
잘하다
동기
일지
훔치다
들키다
미안
암
걸리다
치료비
빨리
취업
학자금
대출
갚다
취업
속상하다
이력서
넣다
실망
퇴근길
치킨
조르다
사온
왜
고립
후회
어떡하다
게임
화
대학
진학
취업
우울
애인
점점
들어가다
놀다
싫어하다
속상하다
환멸감
배우다
동기
빠르다
우울
이런
원망
싫다
잘못
행동
후회
한번
핑계
당황
좀처럼
내가다
사돈댁
차이
속상하다
주위
더
좋아하다
슬프다
빌리다
돌려주다
착잡
교수
원하다
분야
머리
새하얗다
전망
노인정
세상
떠나다
평소
친하다
대리
무안
거래처
이유
계약
파기
화
새롭다
사업
투자
조심
구역질
열등감
빠지다
스트레스
성공
동료
아주
관절염
고생
큰딸
갖다
일주일
빼다
놀다
나쁘다
더
이상
바다
낚시
폭풍우
살아남다
죄책감
슬프다
요새
스트레스
복이
외롭다
자꾸
통
연애
상대방
열등감
명
안달
성향
쓰다
남
시선
의식
헤어지다
누나
누나
제일
못생기다
중요
앞두다
긴장
요
며칠
신경
곤두서다
말하기
조심
학교
폭력
선생
만
적극적
도와주다
화
