verb
대하
하
말하
따르
받
되
따르
보
관하
따르
따르
따르
보
따르
따르
따르
따르
따르
따르
되
따르
관하
따르
받
받
말하
따르
따르
관하
따르
관하
따르
따르
되
따르
따르
따르
관하
따르
따르
따르
말하
하
따르
대하
관하
받
관하
따르
하
따르
정하
하
위하
주어지
받
말하
정하
정하
위하
하
하
하
하
말하
따르
대하
따르
대하
따르
내려지
알리
따르
되
지키
위하
하
말하
관하
하
있
되
정하
따르
관하
따르
하
대하
하
있
되
하
하
있
하
하
되
하
하
하
하
되
되
있
관하
되
따르
따르
따르
하
위하
두
되
하
위하
지키
대하
따르
따르
하
관하
위하
말하
통하
위하
하
정하
있
되
하
정하
하
하
있
하
따르
되
따르
하
하
하
되
정하
되
정하
대하
하
되
따르
관하
하
하
위하
하
따르
하
거치
하
밝히
하
따르
따르
되
따르
하
따르
하
하
따르
하
관하
대하
정하
말하
따르
하
하
하
되
하
있
하
하
따르
관하
정하
하
하
통하
하
하
말하
있
위하
되
따르
미치
하
대하
거치
하
따르
하
따르
하
되
되
되
대하
따르
대하
하
되
되
관하
따르
되
갖추
하
하
따르
보
하
위하
되
하
하
보
따르
미치
하
하
하
대하
보
하
대하
정하
하
하
대하
거치
따르
받
대하
하
하
관하
따르
되
되
관하
따르
되
갖추
하
하
따르
보
하
위하
되
하
하
보
따르
미치
하
따르
하
따르
하
관하
하
말하
따르
하
통하
따르
되
되
위하
하
정하
있
하
따르
위하
하
따르
따르
따르
거치
되
위하
되
하
있
위하
위하
하
위하
하
따르
받
관하
받
위하
하
관하
따르
하
보
하
따르
받
따르
대하
따르
있
듣
따르
받
되
하
있
하
대하
정하
관하
열
조르
받
하
관하
보
하
따르
하
통하
따르
되
통하
하
대하
하
통하
하
위하
두
하
인하
되
하
대하
따르
대하
하
대하
하
있
정하
있
통하
있
따르
가
따르
하
되
따르
하
하
되
따르
하
하
되
보
통하
위하
하
정하
있
되
하
정하
대하
통하
관하
위하
있
있
대하
통하
관하
따르
되
대하
지키
보
하
따르
하
보
하
따르
되
통하
위하
하
정하
있
지키
있
위하
하
하
되
되
대하
따르
하
지키
하
하
있
하
하
하
있
대하
하
있
위하
대하
준하
하
있
관하
따르
하
되
말하
하
하
하
관하
관하
하
관하
열
따르
하
하
따르
받
위하
하
하
되
말하
의하
되
되
되
행하
말하
되
위하
내
위하
말하
받
받
갖
끼치
말하
하
주
말하
하
말하
이용하
되
말하
의하
말하
정하
말하
통하
관하
통하
되
위하
관하
하
정하
말하
따르
살
관하
관하
위하
관하
따르
위하
정하
관하
의하
의하
받
관하
하
따르
의하
받
관하
의하
당하
하
통하
보
하
보
속하
하
되
위하
정하
이루어지
있
관하
정하
하
하
대하
정하
말하
따르
되
하
위하
하
속하
관리하
있
당하
대하
있
당하
따르
되
하
통하
되
대하
하
정하
말하
해지
하
있
당하
정하
따르
하
말하
정하
따르
하
말하
정하
관하
정하
말하
위하
하
관하
하
관하
갖추
위하
되
있
보
하
관하
관하
하
하
하
미치
하
통하
마치
지나
있
관하
관하
관하
하
따르
관하
관하
정하
관하
관하
정하
보
하
하
하
하
관하
하
관하
하
의하
통제하
위하
설치
하
인하
위하
갖추
하
위하
갖추
위하
의하
받
관하
하
관하
하
설치
하
대하
갖추
갖추
설치
위하
갖추
의하
위하
설치
하
위하
갖추
되
위하
갖추
하
위하
갖추
관하
관하
하
위하
정하
한하
대하
받
부르
되
대하
취하
통하
인하
위하
취하
되
비치
하
설치
하
되
설치
하
설치
하
위하
하
대하
하
되
되
있
위하
하
갖추
관리하
하
있
대하
받
따르
대하
대하
하
정하
따르
얻
정하
정하
받
대하
관리하
통하
되
되
하
