실습,1,
재료,1,
야하다,-1,
부족,-1,
미루다,-1,
휴대폰,1,
허무,-1,
노트,1,
숙제,1,
훔치다,-1,
베끼다,-1,
키우다,1,
아무,-1,
소용,-1,
사위,1,
빼다,-1,
가족사진,1,
찍다,1,
무겁다,-1,
갖다,1,
이해,1,
휴일,,
당구장,,
노엽다,,
여기다,,
목적,,
머리,,
직업,,
반대하다,,
실망,,
비다,,
혼주,,
의자,,
당혹,,
그리다,,
여가,,
줄다,,
되레,,
마치,,
기계,,
오히려,,
병,,
여기저기,,
고장,,
매번,,
소외,,
센터,,
고혈압,,
나쁘다,,
어머니,,
미안,,
음주,,
운전,,
뻔뻔,,
태도,,
취하다,,
심지어,,
늙다,,
뉴스,,
충격적,,
기사,,
똑똑,,
형,,
필요,,
어이없다,,
치매,,
집착하다,,
짜증나다,,
이상,,
웃음,,
이런,,
이제껏,,
비하다,,
모이다,,
정말로,,
자신,,
키워,,
즐기다,,
통장,,
잔고,,
월급,,
이것저것,,
내야,,
서류,,
학급,,
사십,,
비용,,
만만,,
합격,,
새,,
망설이다,,
혼란,,
공동,,
계좌,,
사용,,
지출,,
돌변,,
미래,,
불투명,,
학생,,
쇼크,,
갑작스럽다,,
병문안,,
선인장,,
물다,,
가시,,
박히다,,
파상풍,,
성가시다,,
골목,,
어린애,,
세상,,
무너지다,,
익숙,,
건강검진,,
정밀,,
검사,,
오빠,,
참다,,
한도,,
실수,,
때리다,,
애,,
요새,,
이리,,
깜빡깜빡,,
기회,,
뺏다,,
수익,,
고객,,
불법적,,
비윤리적,,
경영,,
뒷말,,
먼저,,
기일,,
예정일,,
일주일,,
아기,,
무슨,,
황당,,
따돌리다,,
노년,,
끊다,,
생계,,
곤란,,
육아,,
도움,,
요청,,
집주인,,
전세금,,
올리다,,
다리,,
호감,,
데이트,,
신청,,
거절,,
내가다,,
과연,,
의문,,
꾸짖다,,
컨닝,,
의심,,
폭행,,
숨기다,,
친목,,
모임,,
맞장구,,
쳐주다,,
급전,,
아파트,,
어느새,,
시세,,
두,,
배,,
아이고,,
확신,,
심사,,
낙방,,
두절,,
두텁다,,
과음,,
시집,,
세상에,,
기본,,
끈기,,
인내,,
서럽다,,
부자,,
밖,,
밑,,
가지다,,
쇼핑,,
지체,,
최근,,
갈등,,
하얘지다,,
솔직히,,
서로,,
여성,,
커피숍,,
앉다,,
강남,,
이미,,
어쩌다,,
웃다,,
회식,,
큰소리,,
올해,,
통화,,
예약,,
동떨어지다,,
조금,,
일해,,
허리,,
뻐근,,
이튿날,,
일어나다,,
명절,,
어른,,
고향,,
가,,
퇴직,,
새롭다,,
도무지,,
막막,,
중년,,
신입,,
들어오다,,
약간,,
여러,,
개,,
관절염,,
적용,,
불만,,
가슴,,
아주,,
지난번,,
기말고사,,
고립,,
문자,,
시스템,,
오류,,
쪽지,,
채점,,
오답,,
인,,
정답,,
못살다,,
열등감,,
치과,,
한곳,,
임,,
플란트,,
떼우다,,
가만히,,
차이,,
조르다,,
사소,,
로또,,
발표,,
한숨,,
철로,,
충전,,
직무,,
훨씬,,
해내다,,
술,,
코로나,,
터지다,,
예민,,
해진,,
시력,,
얻다,,
다르다,,
여전히,,
즐겁다,,
조만간,,
합숙,,
판이,,
밉다,,
가방,,
끈,,
자르다,,
도망치다,,
기업,,
공채,,
취소,,
저지르다,,
이름,,
치료비,,
시어머니,,
요실금,,
기저귀,,
차고,,
노인회,,
영감,,
회비,,
아난,,
마비,,
손주,,
가치관,,
대답,,
면역력,,
데리다,,
강아지,,
배설물,,
곳곳,,
사과,,
이차,,
마르다,,
몇,,
꽤,,
두렵다,,
세뱃돈,,
쥐다,,
비웃다,,
놀림거리,,
대화,,
줄어들다,,
탈락,,
틀어박히다,,
경찰,,
들키다,,
정년,,
퇴임,,
결혼식,,
사내,,
연애,,
잃어버리다,,
상상도,,
실내화,,
변기통,,
욕,,
암담,,
수업,,
안정,,
개인,,
퇴사,,
남지,,
먹고살다,,
이등,,
무단,,
횡단,,
물리치료,,
멈추다,,
